Unnamed: 0,star_name,distance_l,distance_par,diameter,class,mag,mag_a,visual_lum,color,distance_type,log_diameter,B-V,star_temp
1846,Vanderdonck 3,104.0,32.0,0.58,,+9.77,+7.24,0.1,,120,-0.23657200643706275,1.0,4958.1
1847,Rho(1) Cancri,40.9,12.5,0.91,V,+5.95,+5.46,0.57,"B-V= +0.86, U-B= +0.62, R-I= +0.26",60,-0.040958607678906384,0.86,5248.64
1848,Struve 1280,36.9,11.3,0.67,V,+8.70,+8.43,0.037,,40,-0.17392519729917352,1.0,4958.1
1851,Iota Ursae Majoris,47.7,14.6,1.67,V,+3.14,+2.31,10.4,"B-V= +0.19, U-B= +0.08",60,0.22271647114758325,0.19,7605.91
1852,10 Ursae Majoris,53.6,16.4,1.34,V,+4.11,+3.03,5.34,"B-V= +0.37, U-B= +0.02",60,0.12710479836480765,0.37,6735.41
1855,Sigma(2) Ursae Majoris,66.7,20.5,1.76,IV-V,+4.84,+3.29,4.23,,80,0.24551266781414982,1.0,4958.1
1856,Cordoba Durchmusterung -25°6905,146.0,44.6,0.96,V,+6.77,+3.52,3.40,"B-V= +0.57, U-B= +0.03",160,-0.017728766960431602,0.57,6014.13
1857,Cape Photographic Durchmusterung -44°3489,257.0,79.0,0.69,V,+9.78,+5.29,0.7,"B-V= +0.78, U-B= +0.40",260,-0.1611509092627447,0.78,5434.86
1858,Pi(1) Cancri,66.8,20.5,0.82,V,+7.25,+5.69,0.46,,80,-0.08618614761628333,1.0,4958.1
1859,SFT 1321,20.1,6.15,0.63,V,+7.64,+8.70,0.029,"B-V= +1.39, U-B= +1.20, R-I= +0.68",40,-0.20065945054641826,1.39,4323.48
1860,Kuiper 39,88.8,27.2,0.64,V,+10.67,+8.50,0.035,,100,-0.19382002601611278,1.0,4958.1
1861,Bonner Durchmusterung +5°2143,60.1,18.4,0.81,,+8.04,+6.71,0.18,,80,-0.09151498112135022,1.0,4958.1
1862,Struve 3121,57.2,17.5,0.78,V,+7.86,+6.64,0.19,,60,-0.10790539730951958,1.0,4958.1
1865,Finsen 363,109.0,33.5,0.98,V,+6.13,+3.50,3.46,,120,-0.00877392430750515,1.0,4958.1
1867,Ross 439,54.5,16.7,0.45,V,+12.08,+10.96,0.0036,"B-V= +1.53, U-B= +1.11, R-I= +1.04",60,-0.34678748622465627,1.53,4141.4
1868,Tau(1) Hydrae,55.8,17.1,1.49,V,+4.59,+3.43,3.72,"B-V= +0.45, U-B= +0.00, R-I= +0.26",60,0.17318626841227402,0.45,6422.06
1870,Psi Velorum,60.5,18.6,2.23,IV,+4.12,+2.78,6.75,,80,0.34830486304816066,1.0,4958.1
1871,Kuiper 41,34.4,10.5,0.42,V,+10.81,+10.70,0.0046,,40,-0.3767507096020995,1.0,4958.1
1872,Theta Ursae Majoris,43.99,13.49,2.551,IV,+3.17,+2.52,8.547,"B-V= +0.46, U-B= +0.02, R-I= +0.16",60,0.40671045860979005,0.46,6385.41
1873,Bonner Durchmusterung +27°1775,57.9,17.7,0.87,V,+7.01,+5.76,0.43,"B-V= +0.77, U-B= +0.33",60,-0.06048074738138147,0.77,5459.32
1874,11 Leonis Minoris,36.46,11.18,1.129,V,+5.41,+5.17,0.746,"B-V= +0.77, U-B= +0.44, R-I= +0.26",40,0.05269394192496785,0.77,5459.32
1875,Theta Antliae,63.0,19.0,1.06,V,+5.45,+4.03,2.1,,80,0.025305865264770258,1.0,4958.1
1876,Cape Photographic Durchmusterung -52°2830,85.5,26.2,0.83,V,+7.93,+5.84,0.40,,100,-0.0809219076239261,1.0,4958.1
1879,Kuiper 47,69.3,21.2,0.66,,+10.18,+8.54,0.033,,80,-0.18045606445813128,1.0,4958.1
1880,Cordoba Durchmusterung -35°6194,100.0,30.7,1.02,V,+6.15,+3.71,2.85,"B-V= +0.60, U-B= +0.16, R-I= +0.22",120,0.008600171761917567,0.6,5921.96
1881,Cape Photographic Durchmusterung -46°4357,134.0,41.0,0.74,V,+8.27,+5.21,0.72,,140,-0.1307682802690238,1.0,4958.1
1882,39 Leonis,74.1,22.7,0.99,Vb,+5.82,+4.04,2.11,"B-V= +0.50, U-B= -0.05, R-I= +0.17",80,-0.004364805402450088,0.5,6243.9
1883,Gliese 389,65.4,20.0,0.61,,+10.72,+9.21,0.018,"B-V= +1.43, R-I= +0.80",80,-0.21467016498923294,1.43,4269.43
1885,Bonner Durchmusterung +49°1961,76.8,23.6,0.95,V,+6.44,+4.58,1.28,"B-V= +0.60, U-B= +0.05, R-I= +0.24",80,-0.02227639471115225,0.6,5921.96
1886,Bonner Durchmusterung +57°1274,57.0,17.5,0.68,V,+9.63,+8.42,0.037,"B-V= +1.38, R-I= +0.61",60,-0.16749108729376364,1.38,4337.26
1891,Bonner Durchmusterung +39°2376,46.0,14.1,0.64,V,+9.30,+8.55,0.033,,60,-0.19382002601611278,1.0,4958.1
1892,Bonner Durchmusterung -18°3019,42.0,13.0,0.46,V-VI,+11.03,+10.47,0.006,"B-V= +1.44, U-B= +0.96, R-I= +0.77",60,-0.33724216831842585,1.44,4256.19
1895,Chi(1) Hydrae,142.0,43.5,2.01,,+5.63,+2.44,9.23,,160,0.3031960574204888,1.0,4958.1
1896,WX Ursae Majoris,15.76,4.832,0.358,V,+8.74,+10.32,0.00649,"B-V= +1.54, U-B= +1.18, R-I= +0.81",20,-0.4461169733561256,1.54,4129.12
1898,Gliese 414,38.9,11.9,0.7,V,+8.30,+7.92,0.059,"B-V= +1.34, U-B= +1.29, R-I= +0.59",40,-0.1549019599857432,1.34,4393.5
1900,Bonner Durchmusterung +74°456,47.9,14.7,0.75,V,+7.68,+6.85,0.16,"B-V= +1.06, U-B= +0.92, R-I= +0.40",60,-0.12493873660829993,1.06,4845.41
1902,Bonner Durchmusterung -17°3336,51.3,15.7,0.64,V,+9.97,+8.99,0.022,"B-V= +1.36, U-B= +1.21, R-I= +0.60",60,-0.19382002601611278,1.36,4365.15
1903,Bonner Durchmusterung +53°1480,128.0,39.1,0.94,V,+6.54,+3.58,3.23,"B-V= +0.43, U-B= -0.12",140,-0.026872146400301365,0.43,6496.95
1904,Xi Ursae Majoris,34.0,10.0,0.97,,,,,,40,-0.013228265733755159,1.0,4958.1
1905,SZ Crateris,42.9,13.2,0.66,V,+8.74,+8.14,0.048,R-I= +0.58,60,-0.18045606445813128,1.0,4958.1
1906,Bonner Durchmusterung +19°2443,103.0,31.6,0.69,V,+8.03,+5.53,0.53,,120,-0.1611509092627447,1.0,4958.1
1909,Brisbane Observatory (Sandage & Veron) 5,42.0,12.9,1.36,V,+7.50,+6.95,0.14,,60,0.13353890837021754,1.0,4958.1
1910,83 Leonis,57.6,17.7,1.91,IV,+6.49,+5.25,0.69,"B-V= +0.80, U-B= +0.48, R-I= +0.24",60,0.2810333672477275,0.8,5386.77
1912,O. Struve 235,89.8,27.5,1.09,V,+5.74,+3.54,3.34,,100,0.037426497940623665,1.0,4958.1
1913,Cordoba Durchmusterung -32°8179,31.11,9.538,0.789,V,+5.98,+6.08,0.321,"B-V= +0.81, U-B= +0.39, R-I= +0.29",40,-0.10292299679057967,0.81,5363.12
1914,Bonner Durchmusterung +45°1947,76.0,23.3,0.97,V,+6.45,+4.61,1.24,"B-V= +0.57, U-B= -0.02",80,-0.013228265733755159,0.57,6014.13
1916,Cordoba Durchmusterung -39°7301,30.14,9.24,0.963,V,+4.90,+5.07,0.815,"B-V= +0.66, U-B= +0.10, R-I= +0.22",40,-0.016373712875465497,0.66,5747.77
1917,Bonner Durchmusterung -11°3178,80.4,24.6,0.71,V,+9.02,+7.06,0.13,"B-V= +1.12, U-B= +1.09, R-I= +0.45",100,-0.14874165128092473,1.12,4738.91
1920,CF Ursae Majoris,29.87,9.157,0.64,VI,+6.45,+6.64,0.192,"B-V= +0.75, U-B= +0.17, R-I= +0.29",40,-0.19382002601611278,0.75,5509.06
1921,Luyten 901-10,39.7,12.2,0.37,V,+11.87,+11.44,0.0023,"B-V= +1.54, R-I= +1.04",40,-0.43179827593300496,1.54,4129.12
1922,Cordoba Durchmusterung -37°7536,152.0,46.5,0.94,V,+6.75,+3.41,3.76,,160,-0.026872146400301365,1.0,4958.1
1923,Gliese 452.3,121.0,37.0,0.78,V,+8.22,+5.38,0.62,"B-V= +0.71, U-B= +0.21",140,-0.10790539730951958,0.71,5612.04
1924,Cape Photographic Durchmusterung -55°4711,101.0,30.9,0.89,V,+7.29,+4.84,1.01,,120,-0.0506099933550872,1.0,4958.1
