star_name,distance_l,distance_par,diameter,class,mag,mag_a,visual_lum,color
Bonner Durchmusterung -4°426 ,117,35.9,1.01,IV,+6.83,+4.05,2.08,B-V= +0.67
Bonner Durchmusterung +19°381n,47.3,14.5,,V,+10.66,+9.85,0.0100,B-V= +1.51
Cordoba Durchmusterung -24°1154 ,69.3,21.3,,V,+8.38,+6.75,0.17,B-V= +1.08
Bonner Durchmusterung -3°410 ,79.4,24.3,0.82,V,+8.10,+6.17,0.30,B-V= +0.95
Lambda(2) Fornacis,83.3,25.5,2.06,IV,+5.78,+3.75,2.76,B-V= +0.65
Bonner Durchmusterung +30°421 ,117,35.9,0.91,V,+7.36,+4.58,1.28,B-V= +0.60
McCook & Sion White Dwarf 235+64,55,17,,wd,+15.09,+13.94,0.0002,B-V= +0.44
Cordoba Durchmusterung -26°957,215,65.9,,V,+8.76,+4.67,1.18,B-V= +0.60
Cordoba Durchmusterung -58°538 ,42,13,,V,+9.65,+9.08,0.02,B-V= +1.39
Bonner Durchmusterung -10°525,70.3,21.5,,V,+5.78,+4.11,1.97,B-V= +0.52
Bonner Durchmusterung +0°444 ,76,23,,V,+9.52,+7.69,0.07,B-V= +1.20
Cordoba Durchmusterung -30°990 ,208,63.8,,V,+8.01,+3.99,2.22,B-V= +0.56
12 Persei,80.5,24.7,2.65,V,+4.92,+2.95,5.73,B-V= +0.59
Bonner Durchmusterung +18°339 ,60.5,18.6,0.77,V,+8.27,+6.93,0.15,B-V= +1.07
Iota Horologii,56.24,17.24,1.538,IV,+5.40,+4.22,1.791,B-V= +0.56
Catalogue Astrographique +25°7918,26.0,7.96,,V,+10.57,+11.06,0.0033,B-V= +1.56
Cordoba Durchmusterung -36°1033,352,108,,V,+7.12,+1.96,14.4,
Mu Ceti,84.3,25.8,2.00,IV,+4.27,+2.21,11.4,B-V= +0.31
Tau(1) Eridani,45.6,14.0,1.28,V,+4.47,+3.74,2.78,B-V= +0.48
Bonner Durchmusterung +25°449 ,83.7,25.7,0.79,IV?,+7.85,+5.80,0.42,B-V= +0.84
Bonner Durchmusterung +11°383 ,51.9,15.9,0.69,V,+8.59,+7.58,0.081,B-V= +1.28
Eggen/Greenstein white dwarf 565,68,21,,wd,+15.53,+13.92,0.0002,B-V= +0.36
Eggen/Greenstein white dwarf 473,33.6,10.3,,wd,+15.32,+15.25,0.000069,B-V= +0.93
VY Arietis,143,44.0,0.9,,+6.77,+3.55,3.31,B-V= +0.96
Bonner Durchmusterung +15°395 ,73.1,22.4,0.71,V,+8.91,+7.16,0.12,B-V= +1.20
Cordoba Durchmusterung -44°863 ,190,58.3,,V,+8.18,+4.35,1.59,B-V= +0.55
Wolf 1323,49,15,,V,+9.55,+8.67,0.03,B-V= +1.34
Bonner Durchmusterung +65°585,84,26,,V,+9.16,+7.12,0.1,B-V= +1.07
EP Eridani,33.86,10.38,0.915,V,+6.04,+5.96,0.360,B-V= +0.87
